MEMID,CMTTEID,CHAMBER,CMTTEETYPE,NAME,PARTY,STATE,DIST,year
H0AL02087,C00462143,H,P,"ROBY, MARTHA",REP,AL,2,2018
H0AL02087,C00493783,H,J,"ROBY, MARTHA",REP,AL,2,2018
H0AL05163,C00464149,H,P,"BROOKS, MO",REP,AL,5,2018
H0AL07086,C00458976,H,P,"SEWELL, TERRI A.",DEM,AL,7,2018
H0AR01083,C00462374,H,P,"CRAWFORD, ERIC ALAN RICK",REP,AR,1,2018
H0AR01083,C00493783,H,J,"CRAWFORD, ERIC ALAN RICK",REP,AR,1,2018
H0AR03055,C00497149,N,J,"WOMACK, STEVE",REP,AR,3,2018
H0AR03055,C00477745,H,P,"WOMACK, STEVE",REP,AR,3,2018
H0AZ01259,C00461806,H,P,"GOSAR, PAUL DR.",REP,AZ,4,2018
H0CA03078,C00461061,H,P,"BERA, AMERISH",DEM,CA,7,2018
H0CA03078,C00519900,H,J,"BERA, AMERISH",DEM,CA,7,2018
H0CA10073,C00554709,H,P,"DESAULNIER, MARK",DEM,CA,11,2018
H0CA10149,C00462697,H,P,"GARAMENDI, JOHN",DEM,CA,3,2018
H0CA19173,C00496018,N,J,"DENHAM, JEFF",REP,CA,10,2018
H0CA19173,C00473272,H,P,"DENHAM, JEFF",REP,CA,10,2018
H0CA27085,C00343871,H,P,"SCHIFF, ADAM",DEM,CA,28,2018
H0CA27085,C00639864,N,J,"SCHIFF, ADAM",DEM,CA,28,2018
H0CA27085,C00648626,N,J,"SCHIFF, ADAM",DEM,CA,28,2018
H0CA32101,C00458125,H,P,"CHU, JUDY",DEM,CA,27,2018
H0CA33117,C00476523,H,P,"BASS, KAREN",DEM,CA,37,2018
H0CA48024,C00350520,H,P,"ISSA, DARRELL",REP,CA,49,2018
H0CA48024,C00493528,N,J,"ISSA, DARRELL",REP,CA,49,2018
H0CA49055,C00344671,H,P,"DAVIS, SUSAN A",DEM,CA,53,2018
H0CT03072,C00238865,H,P,"DELAURO, ROSA L",DEM,CT,3,2018
H0DC00058,C00244335,H,P,"NORTON, ELEANOR HOLMES",DEM,DC,0,2018
H0FL02086,C00460261,H,P,"LAWSON, ALFRED JR",DEM,FL,5,2018
H0FL08208,C00481911,H,P,"WEBSTER, DANIEL",REP,FL,11,2018
H0FL12101,C00459461,H,P,"ROSS, DENNIS ALAN",REP,FL,15,2018
H0FL17068,C00460055,H,P,"WILSON, FREDERICA S.",DEM,FL,24,2018
H0FL19080,C00469163,H,P,"DEUTCH, THEODORE ELIOT",DEM,FL,22,2018
H0GA07125,C00544445,H,P,"HICE, JODY",REP,GA,10,2018
H0GA07125,C00569079,N,J,"HICE, JODY",REP,GA,10,2018
H0GA07133,C00482307,H,P,"WOODALL, ROB REP.",REP,GA,7,2018
H0GA08099,C00544510,N,J,"SCOTT, JAMES AUSTIN",REP,GA,8,2018
H0GA08099,C00482737,H,P,"SCOTT, JAMES AUSTIN",REP,GA,8,2018
H0GA08099,C00493783,H,J,"SCOTT, JAMES AUSTIN",REP,GA,8,2018
H0GA09030,C00501866,N,J,"GRAVES, JOHN THOMAS MR. JR.",REP,GA,14,2018
H0GA09030,C00462556,H,P,"GRAVES, JOHN THOMAS MR. JR.",REP,GA,14,2018
H0ID01253,C00470948,H,P,"LABRADOR, RAUL R. HON.",REP,ID,1,2018
H0IL05096,C00457556,H,P,"QUIGLEY, MIKE",DEM,IL,5,2018
H0IL11052,C00458877,H,P,"KINZINGER, ADAM",REP,IL,16,2018
H0IL14080,C00467522,H,P,"HULTGREN, RANDY",REP,IL,14,2018
H0IL14080,C00493783,H,J,"HULTGREN, RANDY",REP,IL,14,2018
H0IN02125,C00547430,H,J,"MESSER, ALLEN LUCAS",REP,IN,6,2018
H0IN02190,C00468579,H,P,"WALORSKI SWIHART, JACKIE",REP,IN,2,2018
H0IN04170,,,,"ROKITA, THEODORE EDWARD",REP,IN,4,2018
H0IN08114,C00679605,N,J,"BUCSHON, LARRY D.",REP,IN,8,2018
H0IN08114,C00624841,N,J,"BUCSHON, LARRY D.",REP,IN,8,2018
H0IN08114,C00468256,H,P,"BUCSHON, LARRY D.",REP,IN,8,2018
H0KS03137,C00472365,H,P,"YODER, KEVIN",REP,KS,3,2018
H0KS04051,C00460402,H,A,"POMPEO, MICHAEL R",REP,KS,4,2018
H0KY05015,C00116632,H,P,"ROGERS, HAROLD DALLAS",REP,KY,5,2018
H0KY06104,C00467571,H,P,"BARR, GARLAND ANDY",REP,KY,6,2018
H0LA01087,C00394957,H,P,"SCALISE, STEVE MR",REP,LA,1,2018
H0LA01087,C00568162,N,J,"SCALISE, STEVE MR",REP,LA,1,2018
H0MA10082,C00479063,H,P,"KEATING, WILLIAM RICHARD",DEM,MA,9,2018
H0MI02094,C00459297,H,P,"HUIZENGA, WILLIAM P",REP,MI,2,2018
H0MI02094,C00580043,N,U,"HUIZENGA, WILLIAM P",REP,MI,2,2018
H0MI02094,C00589945,N,J,"HUIZENGA, WILLIAM P",REP,MI,2,2018
