District,Candidate,Q2 Haul,,,,,,,
AL-02,,,,,,,,,
AR-02,Spencer,6591.98,,,,,,,
,Hulsey,,,,,,,,
AZ-02,Kirkpatrick,0,,,,,,,
,Kovacs,20260.15,,,,,,,
,Heinz,201000,,,,,,,
,Matiella,31214,,,,,,,
,Verdin,,,,,,,,
AZ-06,McFadden,,,,,,,,
,Williamson,445.46,,,,,,,
CA-10,Harder,403589.91,,,,,,,
,Nygard,15120.47,,,,,,,
,Cox,,,,,,,,
,Barkley,669.84,,,,,,,
,Battista,7028.37,,,,,,,
,Morelos,114.11,,,,,,,
,Vaughn,823,,,,,,,
CA-21,Huerta,35828.36,,,,,,,
CA-22,Bliatout,,,,,,,,
,Franco,,,,,,,,
,Janz,85616.05,,,,,,,
,Kremer,,,,,,,,
,Sigala,,,,,,,,
,Vargas,,,,,,,,
CA-25,Bryan Caforio,233000,,,,,,,
,Katie Hill,165000,,,,,,,
,Jess Phoenix,77000,,,,,,,
CA-39,Gilbert Cisneros,,,,,,,,
,Sam Jammal,,,,,,,,
,Phil Janowicz,"180,000",,,,,,,
,Andy Thorburn,,,,,,,,
,Mai Khanh Tran,273000,,,,,,,
CA-45,Kia Hamadanchy,200000,,,,,,,
,Brian Forde,,,,,,,,
,Dave Min,304000,,,,,,,
,Katie Porter,312000,,,,,,,
CA-48,Harley Rouda,104000,,,,,,,
,Hans Keirstead,139000,,,,,,,
,Michael Kotick,,,,,,,,
,Laura Oatman,121000,,,,,,,
,Boyd Roberts,,,,,,,,
,Omar Siddiqui,,,,,,,,
CA-49,Doug Applegate,117000,,,,,,,
,Paul Kerr,,,,,,,,
,Mike Levin,334000,,,,,,,
CA-50,Josh Butner,141000,,,,,,,
,Pierre Beauregard,13000,,,,,,,
,Ammar Campa,165000,,,,,,,
CO-03,Diane Mitsch Bush,,,,,,,,
CO-06,Jason Crow,300000,,,,,,,
,David Aarestad,53000,,,,,,,
,Levi Tillemann,,,,,,,,
FL-06,Nancy Soderberg,,,,,,,,
FL-16,N/A,,,,,,,,
FL-18,Pam Keith,,,,,,,,
FL-25,N/A,,,,,,,,
FL-26,Debbie Mucarsel-Powell,,,,,,,,
FL-27,Michael Hepburn,13000,,,,,,,
,Kristen Rosen Gonzalez,184000,,,,,,,
GA-06,N/A,,,,,,,,
GA-07,David Kim,260000,,,,,,,
IA-01,Abby Finkenauer,156000,,,,,,,
IA-03,Cindy Axne,"81,000",,,,,,,
,Heather Ryan,7000,,,,,,,
IL-06,Sean Casten,105000,,,,,,,
,Amanda Howland,53000,,,,,,,
,Kelly Mazeski,210000,,,,,,,
,Suzyn Price,40000,,,,,,,
,Anthony Zordani,29000,,,,,,,
IL-12,N/A,,,,,,,,
IL-13,David GIll,20000,,,,,,,
IL-14,Victor Swanson,3400,,,,,,,
IN-02,N/A,,,,,,,,
KS-02,N/A,,,,,,,,
KS-03,Andrea Ramsey,205000,,,,,,,
,Jay Sidie,"19,000",,,,,,,
KY-06,Amy McGrath,"36,000",,,,,,,
ME-02,N/A,,,,,,,,
MI-01,Matt Morgan,116000,,,,,,,
MI-06,N/A,,,,,,,,
MI-07,Gretchen Driskell,7700,,,,,,,
MI-08,Darlene Domanik,14000,,,,,,,
MI-11,Haley Stevens,"323,000",,,,,,,
MN-02,Jeff Erdman,30000,,,,,,,
MN-03,Dean Phillips,"534,000",,,,,,,
MO-02,N/A,,,,,,,,
NC-02,N/A,,,,,,,,
NC-08,N/A,,,,,,,,
NC-09,Dan McCready,"459,000",,,,,,,
NC-13,N/A,,,,,,,,
NE-02,Brad Ashford,8700,,,,,,,
,Kara Eastman,30000,,,,,,,
NM-02,N/A,,,,,,,,
NJ-02,N/A,,,,,,,,
NJ-03,Andy Kim,117000,,,,,,,
,Katherine Hartman,32000,,,,,,,
NJ-07,Linda Weber,122000,,,,,,,
,Lisa Mandelblatt,"259,000",,,,,,,
,Peter Jacob,"27,000",,,,,,,
,Scott Salmon,"53,000",,,,,,,
NJ-11,Mikie Sherrill,"246,000",,,,,,,
NY-01,N/A,,,,,,,,
NY-11,Zach Emig,35000,,,,,,,
,Boyd Melson,57000,,,,,,,
NY-19,Steven Brisee,6500,,,,,,,
,Antonio Delgado,351000,,,,,,,
,Brian Flynn,574000,,,,,,,
,Gareth Rhodes,135000,,,,,,,
,Patrick Ryan,213000,,,,,,,
,Sue Sullivan,55000,,,,,,,
NY-21,Patrick Nelson,12000,,,,,,,
NY-22,Anthony Brindisi,41000,,,,,,,
NY-23,Rick Gallant,29000,,,,,,,
,Eddie Sundquist,19000,,,,,,,
NY-24,N/A,,,,,,,,
NY-27,N/A,,,,,,,,
OH-01,N/A,,,,,,,,
OH-07,Ken Harbaugh,191000,,,,,,,
OH-10,N/A,,,,,,,,
OH-14,Besty Rader,132000,,,,,,,
PA-06,Chrissy Houlahan,433000,,,,,,,
PA-07,Molly Sheehan,122000,,,,,,,
,Elizabeth Moro,36000,,,,,,,
,Dan Muroff,190000,,,,,,,
,Paul-David Perry,17000,,,,,,,
PA-08,N/A,,,,,,,,
PA-16,Jess King,13000,,,,,,,
TX-07,Alexander Triantaphyllis,"451,000",,,,,,,http://docquery.fec.gov/cgi-bin/forms/C00639187/1171593/
,Joshua Butler,"17,000",,,,,,,
,James Cargas,"26,000",,,,,,,
,Elizabeth Pannill Fletcher,"366,000",,,,,,,
,Debra Kerner,"17,000",,,,,,,
,Laura Moser,"235,000",,,,,,,
,Jason Westin,"152,000",,,,,,,
TX-23,N/A,,,,,,,,
TX-32,Colin Allred,206000,,,,,,,
,Ed Meier,344000,,,,,,,
,George Rodriguez,13000,,,,,,,
VA-02,Shaun Brown,38000,,,,,,,
VA-05,Roger Dean RD Huffstetler,345000,,,,,,,
,Andrew Sneathern,69000,,,,,,,
VA-07,N/A,,,,,,,,
VA-10,Lindsey Stover,"307,000",,,,,,,
,Jennifer Wexton,"202,000",,,,,,,
,Alison Friedman,"454,000",,,,,,,
,Dave Hanson,20577,,,,,,,
,Daniel Helmer,247000,,,,,,,
,Deep Sran,77000,,,,,,,
WA-03,David McDevitt,106000,,,,,,,
WA-08,Tola Marts,"42,000",,,,,,,
WV-02,N/A,,,,,,,,
WV-03,N/A,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
